#Frame   <N2>
              0              0
              1         0.0121
              2         0.0168
              3          0.022
              4         0.0259
              5         0.0307
              6         0.0364
              7         0.0395
              8         0.0436
              9          0.047
             10         0.0512
             11         0.0546
             12         0.0577
             13         0.0609
             14         0.0631
             15         0.0661
             16         0.0698
             17         0.0732
             18         0.0768
             19         0.0804
             20         0.0842
             21         0.0891
             22         0.0925
             23         0.0968
             24            0.1
             25          0.103
             26          0.106
             27          0.108
             28           0.11
             29          0.113
             30          0.116
             31          0.119
             32          0.122
             33          0.125
             34          0.129
             35          0.133
             36          0.137
             37          0.141
             38          0.145
             39          0.149
             40          0.153
             41          0.156
             42          0.159
             43          0.162
             44          0.165
             45          0.168
             46          0.171
             47          0.175
             48          0.179
             49          0.183
             50          0.188
             51           0.19
             52          0.194
             53          0.198
             54          0.203
             55          0.207
             56          0.211
             57          0.214
             58          0.218
             59          0.222
             60          0.225
             61          0.227
             62          0.231
             63          0.235
             64          0.238
             65          0.242
             66          0.245
             67          0.248
             68          0.251
             69          0.254
             70          0.256
             71          0.258
             72           0.26
             73          0.263
             74          0.265
             75          0.267
             76          0.269
             77           0.27
             78          0.271
             79          0.273
             80          0.274
             81          0.274
             82          0.275
             83          0.274
             84          0.273
             85          0.273
             86          0.272
             87          0.271
             88          0.271
             89           0.27
             90          0.269
             91          0.269
             92          0.268
             93          0.268
             94          0.266
             95          0.265
             96          0.264
             97          0.263
             98          0.264
             99          0.264
