# Time series of the mean square displacement
# Here the calculation uses a double loop scheme:
# <[r(t)-r(t+tau)]^2>/2*Nd*t
#MSD of atoms name OH2
#Frame          <MSD>
              0              0
              1        0.00426
              2        0.00538
              3        0.00608
              4        0.00667
              5        0.00706
              6        0.00746
              7        0.00821
              8        0.00878
              9        0.00912
             10        0.00945
             11         0.0101
             12         0.0106
             13          0.011
             14         0.0113
             15         0.0117
             16         0.0121
             17         0.0125
             18         0.0129
             19         0.0134
             20         0.0138
             21         0.0142
             22         0.0146
             23          0.015
             24         0.0155
             25          0.016
             26         0.0165
             27         0.0169
             28          0.017
             29         0.0177
             30         0.0182
             31         0.0187
             32         0.0195
             33         0.0199
             34         0.0204
             35         0.0209
             36         0.0215
             37         0.0221
             38         0.0224
             39         0.0228
             40         0.0234
             41         0.0238
             42         0.0242
             43         0.0249
             44         0.0254
             45         0.0255
             46         0.0259
             47         0.0267
             48         0.0269
             49         0.0277
             50         0.0279
             51         0.0285
             52         0.0284
             53         0.0292
             54         0.0294
             55         0.0296
             56         0.0302
             57         0.0306
             58         0.0311
             59         0.0316
             60          0.032
             61         0.0324
             62         0.0331
             63         0.0335
             64         0.0338
             65         0.0341
             66         0.0343
             67         0.0352
             68         0.0356
             69         0.0357
             70         0.0361
             71         0.0367
             72         0.0373
             73         0.0375
             74          0.038
             75         0.0388
             76         0.0391
             77         0.0398
             78         0.0402
             79         0.0406
             80         0.0409
             81         0.0412
             82         0.0417
             83         0.0423
             84         0.0428
             85         0.0432
             86         0.0439
             87         0.0448
             88         0.0449
             89         0.0454
             90          0.046
             91         0.0459
             92         0.0464
             93         0.0471
             94         0.0474
             95         0.0479
             96          0.048
             97         0.0487
             98         0.0488
             99         0.0496
