# Time series of the mean square displacement
# Here the calculation uses a double loop scheme:
# <[r(t)-r(t+tau)]^2>/2*Nd*t
#MSD of atoms name OH2
#Frame          <MSD>
              0              0
              1        0.00442
              2        0.00551
              3        0.00628
              4         0.0074
              5        0.00799
              6        0.00897
              7         0.0098
              8         0.0108
              9         0.0116
             10         0.0122
             11         0.0131
             12         0.0137
             13         0.0143
             14          0.015
             15         0.0158
             16         0.0164
             17         0.0166
             18         0.0172
             19          0.018
             20         0.0182
             21         0.0186
             22         0.0188
             23         0.0193
             24         0.0197
             25           0.02
             26         0.0201
             27         0.0204
             28         0.0209
             29         0.0217
             30          0.022
             31         0.0227
             32         0.0234
             33         0.0237
             34          0.024
             35          0.025
             36         0.0252
             37          0.026
             38         0.0265
             39         0.0268
             40         0.0273
             41         0.0277
             42         0.0284
             43         0.0289
             44         0.0293
             45         0.0301
             46         0.0304
             47         0.0309
             48         0.0315
             49         0.0319
             50         0.0326
             51         0.0327
             52         0.0329
             53         0.0332
             54         0.0334
             55         0.0338
             56         0.0341
             57         0.0347
             58         0.0353
             59         0.0358
             60         0.0362
             61         0.0363
             62         0.0369
             63         0.0372
             64         0.0375
             65          0.038
             66         0.0381
             67         0.0386
             68         0.0391
             69         0.0387
             70         0.0395
             71         0.0398
             72         0.0401
             73         0.0403
             74         0.0409
             75         0.0412
             76         0.0417
             77         0.0416
             78         0.0421
             79         0.0426
             80          0.043
             81         0.0438
             82         0.0437
             83         0.0443
             84         0.0446
             85         0.0449
             86         0.0455
             87         0.0458
             88         0.0462
             89          0.046
             90         0.0465
             91         0.0469
             92         0.0474
             93         0.0475
             94         0.0478
             95         0.0486
             96         0.0485
             97          0.049
             98         0.0495
             99         0.0499
