# Time series of the mean square displacement
# Here the calculation uses a double loop scheme:
# <[r(t)-r(t+tau)]^2>/2*Nd*t
#MSD of atoms name OH2
#Frame          <MSD>
              0              0
              1        0.00431
              2        0.00508
              3        0.00585
              4        0.00637
              5        0.00714
              6        0.00771
              7        0.00832
              8        0.00882
              9         0.0093
             10         0.0097
             11         0.0101
             12         0.0104
             13         0.0109
             14         0.0113
             15         0.0119
             16         0.0124
             17         0.0126
             18         0.0132
             19         0.0135
             20         0.0141
             21         0.0145
             22         0.0148
             23         0.0153
             24         0.0157
             25          0.016
             26         0.0163
             27         0.0167
             28         0.0171
             29         0.0173
             30         0.0179
             31         0.0181
             32         0.0183
             33         0.0186
             34         0.0189
             35         0.0195
             36         0.0197
             37         0.0198
             38         0.0202
             39         0.0203
             40         0.0203
             41         0.0205
             42         0.0206
             43         0.0207
             44         0.0209
             45         0.0215
             46         0.0217
             47         0.0221
             48         0.0224
             49         0.0226
             50         0.0228
             51         0.0232
             52         0.0236
             53         0.0234
             54          0.024
             55         0.0243
             56         0.0248
             57         0.0255
             58         0.0259
             59         0.0262
             60         0.0267
             61         0.0274
             62         0.0279
             63         0.0286
             64         0.0293
             65         0.0296
             66           0.03
             67         0.0308
             68         0.0315
             69         0.0323
             70         0.0327
             71         0.0332
             72         0.0336
             73         0.0344
             74         0.0351
             75         0.0359
             76         0.0364
             77         0.0369
             78         0.0375
             79         0.0378
             80         0.0387
             81         0.0392
             82         0.0399
             83         0.0407
             84         0.0413
             85         0.0416
             86          0.042
             87         0.0425
             88          0.043
             89         0.0434
             90         0.0444
             91          0.045
             92         0.0453
             93         0.0461
             94         0.0464
             95         0.0467
             96         0.0476
             97         0.0478
             98         0.0485
             99         0.0489
